HeatEnergyi	EnergyUseLight	ElUseDehumidifieri	Tghi	Tgh_naturali	RHghi	CO2airi	Tcovi	Tscreeni	VentVindui	Leakage_heati	Leakage_humi	alphawindi	alphaleei	DWyield	FWyield	NumberPlantsi	Tcropi	VPDcrop_airi	LEi	Rni	Bni	Pnci	radiIni	spTheat	spTvent	spRHghi	H2O_dehumi	Dewi	CO2supplyi
149.8122159	99	99	18.00049669	99	68.90881496	99	4.612980504	13.63563901	0.1269802583	99	99	1.20523357e-16	3.744413369e-27	99	99	99	99	99	99	99	99	99	80.27085462	18	20	80	99	99	99
149.8368959	99	99	18.00107665	99	69.05273707	99	4.63775293	13.64325688	0.124595942	99	99	8.928589889e-17	2.271101511e-27	99	99	99	99	99	99	99	99	99	77.96430584	18	20	80	99	99	99
149.8626044	99	99	17.96286924	99	69.34530565	99	4.649138175	13.6362918	0.1240938567	99	99	6.614462075e-17	1.377492698e-27	99	99	99	99	99	99	99	99	99	73.20916944	18	20	80	99	99	99
149.88926	99	99	17.97299103	99	69.42725501	99	4.65880076	13.62528222	0.1235917315	99	99	4.900114025e-17	8.354915547e-28	99	99	99	99	99	99	99	99	99	68.44376291	18	20	80	99	99	99
149.9169949	99	99	17.96364576	99	69.57983044	99	4.677554318	13.63561666	0.1230895664	99	99	3.630093753e-17	5.067512439e-28	99	99	99	99	99	99	99	99	99	63.66297981	18	20	80	99	99	99
149.9457555	99	99	17.96831352	99	69.66443376	99	4.6924351	13.6368585	0.1225873614	99	99	2.689239595e-17	3.073601662e-28	99	99	99	99	99	99	99	99	99	58.92383079	18	20	80	99	99	99
149.9755795	99	99	17.96529568	99	69.7715987	99	4.709970954	13.64433398	0.1220851164	99	99	1.992237692e-17	1.864233644e-28	99	99	99	99	99	99	99	99	99	54.22594658	18	20	80	99	99	99
150.0064256	99	99	17.96756932	99	69.8475702	99	4.724766371	13.64818336	0.121331664	99	99	1.475885982e-17	1.130714862e-28	99	99	99	99	99	99	99	99	99	49.58959729	18	20	80	99	99	99
150.0382445	99	99	17.96846503	99	69.92037239	99	4.736561935	13.65341353	0.1198245097	99	99	1.093363227e-17	6.858132312e-29	99	99	99	99	99	99	99	99	99	45.05686523	18	20	80	99	99	99
150.0708922	99	99	17.97308163	99	69.96859092	99	4.74840746	13.65876099	0.1183169957	99	99	8.099834005e-18	4.159667515e-29	99	99	99	99	99	99	99	99	99	40.5840395	18	20	80	99	99	99
150.1040634	99	99	17.98208365	99	69.98874213	99	4.761695955	13.6674963	0.1168091221	99	99	6.000504616e-18	2.522965882e-29	99	99	99	99	99	99	99	99	99	36.17395403	18	20	80	99	99	99
150.1371074	99	99	18.00197343	99	69.95186137	99	4.777299494	13.68166693	0.1153008888	99	99	4.445283152e-18	1.530256161e-29	99	99	99	99	99	99	99	99	99	31.82571979	18	20	80	99	99	99
150.1688077	99	99	18.03960429	99	69.8258745	99	4.797702952	13.70710693	0.1137922957	99	99	3.293146755e-18	9.281472789e-30	99	99	99	99	99	99	99	99	99	27.54195653	18	20	80	99	99	99
150.1973921	99	99	18.09842641	99	69.59167148	99	4.81671832	13.74613577	0.1117802283	99	99	2.43962312e-18	5.629497814e-30	99	99	99	99	99	99	99	99	99	23.44238946	18	20	80	99	99	99
150.2217057	99	99	18.13463939	99	69.42703864	99	4.813044278	13.78243729	0.1082576575	99	99	1.807317259e-18	3.414463023e-30	99	99	99	99	99	99	99	99	99	19.75930676	18	20	80	99	99	99
150.241505	99	99	18.14765684	99	69.33202914	99	4.798082502	13.79223718	0.1047331255	99	99	1.338893556e-18	2.07097651e-30	99	99	99	99	99	99	99	99	99	16.10137356	18	20	80	99	99	99
150.2606467	99	99	18.03414076	99	69.74570656	99	4.772520841	13.77715038	0.1012066312	99	99	9.918767417e-19	1.256110749e-30	99	99	99	99	99	99	99	99	99	12.47126907	18	20	80	99	99	99
150.2830969	99	99	17.88148015	99	70.31457229	99	4.670574177	13.58272488	0.09767817353	99	99	7.348003629e-19	7.618696811e-31	99	99	99	99	99	99	99	99	99	8.874166304	18	20	80	99	99	99
150.3115565	99	99	17.98865286	99	69.79417868	99	4.670562595	13.62762522	0.1119470573	99	99	5.443534974e-19	4.620973203e-31	99	99	99	99	99	99	99	99	99	6.431984335	18	20	80	99	99	99
150.3751161	99	99	16.42771892	99	76.50341634	99	4.410442669	13.07868424	0.1386539211	99	99	4.032669894e-19	2.802761925e-31	99	99	99	99	99	99	99	99	99	4.301376226	18	20	80	99	99	99
150.4042471	99	99	19.59386482	99	63.32487825	99	4.495467414	13.39062639	0.107102274	99	99	2.987475335e-19	1.69996104e-31	99	99	99	99	99	99	99	99	99	2.538761951	18	20	80	99	99	99
150.4360541	99	99	17.60746742	99	71.21532306	99	4.928800332	14.52033556	0.09701649495	99	99	2.213176162e-19	1.031078491e-31	99	99	99	99	99	99	99	99	99	1.757860499	18	20	80	99	99	99
150.4643194	99	99	18.29999836	99	68.23892572	99	4.27972589	13.1087405	0.09349917064	99	99	1.639561227e-19	6.253807173e-32	99	99	99	99	99	99	99	99	99	1.22358779	18	20	80	99	99	99
150.4901252	99	99	18.00584133	99	69.38014892	99	4.637968093	14.06214973	0.09223068929	99	99	1.214616831e-19	3.79312579e-32	99	99	99	99	99	99	99	99	99	0.7621044171	18	20	80	99	99	99
150.519874	99	99	17.89189003	99	69.76113696	99	4.236450565	13.23177524	0.09176745534	99	99	8.998102792e-20	2.300647088e-32	99	99	99	99	99	99	99	99	99	0.3235588365	18	20	80	99	99	99
150.5458292	99	99	18.13979711	99	68.670576	99	4.430191412	13.75403636	0.09147122263	99	99	6.6659585e-20	1.395412996e-32	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.5757153	99	99	17.84276354	99	69.82094092	99	4.320330823	13.4287115	0.09090390077	99	99	4.938263515e-20	8.46360765e-33	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.6031008	99	99	18.1147215	99	68.63599079	99	4.42870354	13.61576048	0.09037624038	99	99	3.658355591e-20	5.133437532e-33	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.6328078	99	99	17.89530791	99	69.47521879	99	4.432471833	13.55721648	0.08986305846	99	99	2.710176479e-20	3.113587253e-33	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.6615961	99	99	18.05326956	99	68.76507064	99	4.467068425	13.57105195	0.08935514727	99	99	2.007748117e-20	1.88848613e-33	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.6913955	99	99	17.9509334	99	69.12842599	99	4.513701391	13.61314674	0.08884913881	99	99	1.487376388e-20	1.145424739e-33	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.7211675	99	99	18.00931585	99	68.83247083	99	4.506134183	13.57291649	0.08670226009	99	99	1.101875529e-20	6.947352223e-34	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.7506836	99	99	18.00461987	99	68.79781439	99	4.472078422	13.60527832	0.07962707008	99	99	8.162894688e-21	4.213782127e-34	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.7800981	99	99	18.00403744	99	68.74565277	99	4.405648117	13.56163036	0.07254410157	99	99	6.047221118e-21	2.555788053e-34	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.8091533	99	99	18.01190616	99	68.65965005	99	4.358401638	13.56302269	0.0654532786	99	99	4.479891589e-21	1.550163814e-34	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.838105	99	99	18.00228559	99	68.64483534	99	4.297713102	13.5328554	0.05835456941	99	99	3.318785316e-21	9.402218809e-35	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.8667243	99	99	18.01178803	99	68.5521956	99	4.245035876	13.52149727	0.05124795738	99	99	2.458616633e-21	5.702733977e-35	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.8951583	99	99	18.00422506	99	68.52898748	99	4.174467364	13.49621323	0.04400627735	99	99	1.821387999e-21	3.458883001e-35	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.92312	99	99	18.01660499	99	68.4231725	99	4.064378598	13.46238164	0.03637462543	99	99	1.349317417e-21	2.097918588e-35	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.9507084	99	99	18.01086489	99	68.38973084	99	3.955210987	13.43071275	0.02873386571	99	99	9.995989277e-22	1.272451946e-35	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
150.9778836	99	99	18.01378791	99	68.31929997	99	3.842351106	13.39037506	0.02108398724	99	99	7.40521099e-22	7.71781118e-36	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.004638	99	99	18.01321859	99	68.26165434	99	3.73284071	13.35790138	0.01342497909	99	99	5.48591523e-22	4.681089106e-36	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.0309933	99	99	18.01277927	99	68.20189185	99	3.620572414	13.31895262	0.00575683037	99	99	4.064065959e-22	2.839224064e-36	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.0569729	99	99	18.01399098	99	68.13421603	99	3.529749524	13.29104236	0	99	99	3.010734113e-22	1.722076444e-36	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.0830972	99	99	17.99327839	99	68.15483583	99	3.493469636	13.2732548	0	99	99	2.230406688e-22	1.044492162e-36	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.1092499	99	99	18.00060453	99	68.06137446	99	3.455963	13.25258704	0	99	99	1.652325914e-22	6.335165201e-37	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.1354473	99	99	17.99789529	99	68.00887232	99	3.425958666	13.24953339	0	99	99	1.224073144e-22	3.842471928e-37	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.1617296	99	99	17.99743904	99	67.94707784	99	3.389923052	13.23231934	0	99	99	9.068156883e-23	2.330577034e-37	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.1880335	99	99	17.9994543	99	67.87546776	99	3.35849396	13.2259206	0	99	99	6.717855847e-23	1.413566426e-37	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.2144116	99	99	17.99696873	99	67.82186701	99	3.315653208	13.2095771	0	99	99	4.976710015e-23	8.573713768e-38	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.2407105	99	99	18.00323519	99	67.73220771	99	3.250097611	13.19044656	0	99	99	3.686837459e-23	5.200220268e-38	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.2669924	99	99	18.00000288	99	67.67994464	99	3.184090844	13.17025676	0	99	99	2.731276366e-23	3.15409303e-38	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.2932332	99	99	18.00163631	99	67.6070619	99	3.116676741	13.14676278	0	99	99	2.023379298e-23	1.913054126e-38	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.3194398	99	99	18.00094849	99	67.54263834	99	3.050680138	13.12659685	0	99	99	1.498956251e-23	1.160325981e-38	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.3456223	99	99	18.00081442	99	67.47503066	99	2.983426667	13.10348	0	99	99	1.110454103e-23	7.037732828e-39	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.371783	99	99	18.00113375	99	67.40503716	99	2.936577658	13.08895769	0	99	99	8.226446326e-24	4.268600735e-39	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.3980418	99	99	17.99637067	99	67.35652478	99	2.946874308	13.09066867	0	99	99	6.094301329e-24	2.58903722e-39	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.4243635	99	99	17.99834856	99	67.28239597	99	2.957189078	13.09242218	0	99	99	4.514769467e-24	1.570330453e-39	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.4507539	99	99	17.99761694	99	67.22064203	99	2.969023672	13.09774398	0	99	99	3.344623483e-24	9.524535657e-40	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
