Date	Tavg
09/09/1997	29.00
10/09/1997	25.44
11/09/1997	28.22
12/09/1997	25.17
15/09/1997	26.50
16/09/1997	25.44
17/09/1997	27.11
18/09/1997	25.61
19/09/1997	26.83
20/09/1997	25.50
21/09/1997	27.78
22/09/1997	26.89
23/09/1997	30.11
24/09/1997	24.94
25/09/1997	26.06
26/09/1997	26.78
27/09/1997	21.78
29/09/1997	28.89
30/09/1997	29.78
01/10/1997	27.61
02/10/1997	24.56
05/10/1997	24.83
06/10/1997	28.11
07/10/1997	25.06
08/10/1997	25.78
09/10/1997	26.06
13/10/1997	26.72
14/10/1997	27.72
15/10/1997	26.22
16/10/1997	23.06
17/10/1997	22.33
25/10/1997	25.33
31/10/1997	23.94
03/11/1997	26.89
04/11/1997	22.61
06/11/1997	23.17
07/11/1997	25.00
11/11/1997	23.56
12/11/1997	21.44
13/11/1997	22.22
18/11/1997	22.72
19/11/1997	23.78
20/11/1997	21.44
21/11/1997	19.28
22/11/1997	23.00
25/11/1997	23.83
27/11/1997	25.06
28/11/1997	23.83
29/11/1997	23.67
02/12/1997	22.50
04/12/1997	21.50
05/12/1997	22.22
08/12/1997	22.44
09/12/1997	23.11
10/12/1997	23.50
11/12/1997	21.56
12/12/1997	21.39
15/12/1997	23.61
19/12/1997	23.17
22/12/1997	20.72
23/12/1997	24.11
24/12/1997	21.78
09/01/1998	21.72
13/01/1998	20.50
14/01/1998	20.89
23/01/1998	24.56
26/01/1998	27.22
05/02/1998	26.78
06/02/1998	24.78
08/02/1998	21.17
11/02/1998	22.28
12/02/1998	20.33
13/02/1998	23.50
14/02/1998	22.06
17/02/1998	23.56
18/02/1998	23.00
19/02/1998	25.50
22/02/1998	26.94
23/02/1998	24.61
24/02/1998	27.94
25/02/1998	25.33
26/02/1998	24.11
27/02/1998	27.72
28/02/1998	23.50
02/03/1998	26.94
03/03/1998	25.06
04/03/1998	23.61
05/03/1998	28.00
06/03/1998	28.44
07/03/1998	23.39
09/03/1998	26.00
10/03/1998	21.78
11/03/1998	24.56
12/03/1998	25.22
13/03/1998	26.94
14/03/1998	26.94
15/03/1998	26.94
16/03/1998	24.56
17/03/1998	27.56
19/03/1998	29.28
20/03/1998	23.56
21/03/1998	24.50
23/03/1998	24.78
25/03/1998	25.83
26/03/1998	26.83
27/03/1998	24.67
31/03/1998	24.44
01/04/1998	22.39
03/04/1998	25.22
04/04/1998	23.78
06/04/1998	22.72
07/04/1998	22.61
09/04/1998	24.50
10/04/1998	24.78
11/04/1998	20.72
15/04/1998	25.61
16/04/1998	23.56
17/04/1998	25.28
20/04/1998	23.61
21/04/1998	25.78
22/04/1998	24.56
23/04/1998	25.61
24/04/1998	24.22
27/04/1998	24.17
28/04/1998	26.44
12/05/1998	22.56
13/05/1998	21.50
18/05/1998	23.39
19/05/1998	25.72
20/05/1998	23.28
21/05/1998	26.06
22/05/1998	26.11
23/05/1998	29.56
24/05/1998	23.11
25/05/1998	23.11
26/05/1998	23.89
27/05/1998	25.94
29/05/1998	27.44
01/06/1998	25.72
05/06/1998	26.61
06/06/1998	23.89
08/06/1998	20.39
10/06/1998	23.33
15/06/1998	20.78
17/06/1998	19.83
18/06/1998	20.72
19/06/1998	23.39
24/06/1998	20.17
02/07/1998	19.17
06/07/1998	22.78
10/07/1998	19.83
11/07/1998	20.44
06/08/1998	24.67
31/08/1998	25.33
01/09/1998	27.56
03/09/1998	27.39
08/09/1998	24.61
09/09/1998	26.17
10/09/1998	25.72
11/09/1998	23.11
14/09/1998	26.33
15/09/1998	22.56
17/09/1998	21.83
21/09/1998	24.22
23/09/1998	21.00
24/09/1998	21.78
25/09/1998	23.00
29/09/1998	21.89
30/09/1998	27.78
02/10/1998	22.61
06/10/1998	24.56
09/10/1998	27.22
13/10/1998	24.78
14/10/1998	21.94
15/10/1998	24.50
16/10/1998	24.06
19/10/1998	25.39
20/10/1998	26.28
21/10/1998	28.44
22/10/1998	22.50
23/10/1998	26.56
27/10/1998	23.50
02/11/1998	26.44
09/11/1998	26.00
11/11/1998	25.89
24/11/1998	25.50
27/11/1998	20.11
02/12/1998	26.17
03/12/1998	24.78
04/12/1998	25.94
07/12/1998	28.11
08/12/1998	27.72
11/12/1998	26.33
14/12/1998	27.17
23/12/1998	24.61
05/01/1999	26.78
06/01/1999	23.89
11/01/1999	23.72
22/01/1999	21.67
29/01/1999	26.22
04/02/1999	19.72
10/02/1999	24.28
11/02/1999	22.22
12/02/1999	24.33
13/02/1999	25.28
15/02/1999	27.89
16/02/1999	28.67
17/02/1999	28.28
19/02/1999	27.11
20/02/1999	25.22
21/02/1999	25.78
22/02/1999	27.67
26/02/1999	26.22
01/03/1999	24.17
05/03/1999	25.22
06/03/1999	22.61
09/03/1999	19.06
10/03/1999	23.78
12/03/1999	22.22
15/03/1999	20.44
19/03/1999	22.17
22/03/1999	21.83
24/03/1999	26.00
25/03/1999	25.67
29/03/1999	23.28
02/04/1999	25.50
07/04/1999	22.67
09/04/1999	22.56
13/04/1999	20.78
14/04/1999	23.33
16/04/1999	26.67
21/04/1999	25.50
26/04/1999	24.22
28/04/1999	23.28
30/04/1999	24.72
04/05/1999	22.00
05/05/1999	25.17
06/05/1999	25.11
08/05/1999	24.28
09/05/1999	22.44
11/05/1999	25.72
24/05/1999	26.89
08/07/1999	20.33
15/07/1999	19.39
18/07/1999	24.72
09/08/1999	24.94
16/08/1999	20.50
18/08/1999	24.56
11/09/1999	27.00
11/10/1999	21.94
20/10/1999	25.94
