Date	Tmean	Tmax	Tmin
25.5	35	16.9
24.7	34.7	16.6
21.9	32.5	17.6
24	32	16.6
24.2	32	18
23.9	32.6	18.5
23.7	31	15.7
22.3	31.3	15.7
21.2	31	17.3
24.3	28	15.6
23.6	31	16.5
26	36	16.5
27.8	37.9	19
21.8	25	18.5
20.6	30.2	11.4
25.4	35	14.8
24.7	34.9	18
22.7	32.1	17
25.3	34.2	17
24	35	18
26.3	36	18.8
23.3	36	17.8
21.5	29.5	16.6
22.4	29.2	15.5
22.7	29.8	16
22.4	30	16
21.9	29.1	14.1
22.7	31	15
24.3	32	16.7
21.4	33	17.3
23.3	32	15.6
26.2	36	18
21.2	36.3	18.7
21.3	29	16
23.5	32	16.8
25.4	34	18.3
20.7	34.1	17
15.8	19.9	12
13.7	19.2	11.5
15.9	19.2	12
18.6	24	14.2
19.7	26	13.7
23.4	29	19
23.6	30	18
18.1	28.5	13
17.7	24.2	9.6
20.1	29	12.5
22.8	29.4	14.4
23.3	32.2	16.5
22.3	32.5	16.1
16.8	26.5	12.9
15.6	23	10
18.4	28	9.7
22.4	32	12.4
20.9	32	13.3
22.1	30	17
25.7	34	18
22	34.3	17.5
19.6	28	12.5
19.8	29	15
15.2	25.7	13.6
12.9	16.5	10.9
13.3	18	10.9
13.8	18	11.7
14.8	18	12.5
14.9	21	7.7
16.7	21.5	12.8
16.7	25	9.4
18.2	26.1	9.9
18.9	27	10.9
18.4	27.9	14.1
18.9	26.4	12
18.3	27.1	12.9
17.2	26	9
18.2	26.6	9.8
18.4	28	8.6
19.1	28	10.5
21.1	31	12.8
19.8	30.7	16
17.6	26.7	14
15.9	21.6	13
15.3	22	9.7
16.8	26	6.8
19.6	29	12
16.6	29	10.9
13.7	23	6.7
15.9	25	8
16.3	25.6	8.3
17.3	25.2	12.9
16.9	24.4	15
15.3	19	10
11.5	22	3.3
16.6	26	7.8
19.1	28	10.1
18.5	30	10
21.6	30.5	13.6
21	30.6	12.4
20.1	30.6	13.1
18.3	29.6	7.2
21.1	30.1	14.3
20.7	29.6	13.9
20.4	29.6	12
21.2	29.7	12
19.8	30	10
21.8	30.5	13.3
18.7	28	13.5
17.7	25.3	12
15.4	25.3	7.8
17.8	24.4	12.7
19.3	25	15.2
19.3	25.6	17.3
18.6	22	15
16.2	22.3	11.6
16.3	24	9.3
17.5	26	10
11.6	26.5	1.5
17.3	30	6.1
17.9	29.7	7.4
18.4	31	7.7
18.6	30.6	10
14.5	24	5.5
14.3	24	7.9
15.8	23.5	11
8.2	23.5	4
5.5	15	-2
8.7	17	1.5
10	17.3	6
9.4	17	1.6
9.1	19.3	1.9
8.5	19.8	-0.1
8.7	16.4	1
8.9	20	0.9
10.4	23	0.8
12.3	23.4	2.4
12.6	23.6	3
13.8	25.4	3.8
17.1	25.7	5.8
13.8	24.4	7
12.8	26	1.8
18.8	27	6.2
